author_type,from_state,to_state,count,probability_pct
Bot,Running,Dead,363,29.63
Bot,Running,Zombie,134,10.94
Bot,Running,Running,728,59.43
Bot,Zombie,Dead,659,52.8
Bot,Zombie,Zombie,461,36.94
Bot,Zombie,Running,128,10.26
Bot,Dead,Dead,62660,98.42
Bot,Dead,Running,362,0.57
Bot,Dead,Zombie,645,1.01
Human,Running,Running,18033,66.86
Human,Running,Dead,5851,21.69
Human,Running,Zombie,3087,11.45
Human,Zombie,Running,2998,33.23
Human,Zombie,Zombie,3411,37.8
Human,Zombie,Dead,2614,28.97
Human,Dead,Running,5150,17.08
Human,Dead,Dead,22345,74.12
Human,Dead,Zombie,2651,8.79
